;;;;;;;;;;Daily report lt 55 zone ABCD;;;;;;;Printed Date 2021/12/21(Tue);;;1
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 55 Zone A;kWh WBP 55 Zone A;kWh LWBP 55 Zone A;kWh total 55 Zone B;kWh WBP 55 Zone B;kWh LWBP 55 Zone B;kWh total 55 Zone C;kWh WBP 55 Zone C;kWh LWBP 55 Zone C;kWh total 55 Zone D;kWh WBP 55 Zone D;kWh LWBP 55 Zone D;kW Total 55 Zone A;;;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kW;;;;;
1;20/12/2021;01:00;3.4;0.0;3.4;0.4;0.0;0.4;2.3;0.0;2.2;2.7;0.0;2.6;3.3;;;;;
1;20/12/2021;02:00;3.3;0.0;3.3;0.3;0.0;0.3;1.7;0.0;1.6;2.6;0.0;2.7;3.3;;;;;
1;20/12/2021;03:00;4.5;0.0;4.5;0.4;0.0;0.3;1.7;0.0;1.8;2.7;0.0;2.7;3.2;;;;;
1;20/12/2021;04:00;3.9;0.0;3.9;0.3;0.0;0.4;1.8;0.0;1.7;2.7;0.0;2.6;3.4;;;;;
1;20/12/2021;05:00;4.4;0.0;4.4;0.3;0.0;0.3;1.7;0.0;1.7;2.6;0.0;2.7;9.2;;;;;
1;20/12/2021;06:00;6.2;0.0;6.2;25.0;0.0;25.1;33.2;0.0;33.6;3.3;0.0;3.3;1.9;;;;;
1;20/12/2021;07:00;7.8;0.0;7.7;34.4;0.0;34.0;56.5;0.0;55.6;5.4;0.0;5.4;10.1;;;;;
1;20/12/2021;08:00;8.1;0.0;8.2;32.3;0.0;32.7;47.8;0.0;48.6;4.3;0.0;4.3;10.1;;;;;
1;20/12/2021;09:00;10.1;0.0;10.0;33.3;0.0;32.8;44.8;0.0;44.1;3.9;0.0;3.8;10.9;;;;;
1;20/12/2021;10:00;10.6;0.0;10.8;25.1;0.0;25.6;46.2;0.0;46.9;4.3;0.0;4.4;10.9;;;;;
1;20/12/2021;11:00;10.8;0.0;10.7;25.0;0.0;25.0;52.5;0.0;51.7;4.6;0.0;4.5;11.0;;;;;
1;20/12/2021;12:00;10.8;0.0;10.7;28.0;0.0;28.0;56.9;0.0;57.7;4.3;0.0;4.4;10.3;;;;;
1;20/12/2021;13:00;8.2;0.0;8.3;16.1;0.0;16.1;48.5;0.0;48.5;4.4;0.0;4.4;9.7;;;;;
1;20/12/2021;14:00;10.2;0.0;10.0;11.9;0.0;11.7;43.9;0.0;43.2;4.0;0.0;4.0;10.1;;;;;
1;20/12/2021;15:00;8.1;0.0;8.3;13.7;0.0;13.8;45.0;0.0;45.8;4.1;0.0;4.1;2.5;;;;;
1;20/12/2021;16:00;3.6;0.0;3.5;13.4;0.0;13.3;43.0;0.0;42.3;4.2;0.0;4.1;2.5;;;;;
1;20/12/2021;17:00;8.4;0.0;8.5;11.5;0.0;11.7;40.1;0.0;40.7;3.9;0.0;4.0;9.9;;;;;
1;20/12/2021;18:00;9.3;0.0;9.3;11.6;0.0;11.5;41.6;0.0;41.6;3.9;0.0;3.9;9.9;;;;;
1;20/12/2021;19:00;4.6;3.1;1.4;2.8;1.5;1.3;13.7;5.4;8.0;3.4;2.6;0.7;3.6;;;;;
1;20/12/2021;20:00;3.6;3.7;0.0;1.4;1.4;0.0;10.7;10.8;0.0;3.5;3.5;0.0;3.7;;;;;
1;20/12/2021;21:00;3.7;3.6;0.0;0.5;0.5;0.0;7.1;7.1;0.0;3.0;3.0;0.0;3.7;;;;;
1;20/12/2021;22:00;3.6;3.7;0.0;0.2;0.2;0.0;1.8;1.8;0.0;2.9;2.9;0.0;3.7;;;;;
1;20/12/2021;23:00;3.8;0.6;3.2;0.3;0.1;0.3;1.5;0.4;1.1;2.7;0.6;2.1;4.0;;;;;
1;20/12/2021;00:00;2.2;0.0;2.2;0.3;0.0;0.2;1.3;0.0;1.3;2.9;0.0;2.9;1.8;;;;;
1;20/12/2021;Daily Total;153.2;14.7;138.5;288.5;3.7;284.8;645.3;25.5;619.7;86.3;12.6;73.6;;;;;;
1;20/12/2021;Daily Maximum;10.8;3.7;10.8;34.4;1.5;34.0;56.9;10.8;57.7;5.4;3.5;5.4;11.0;;;;;
1;20/12/2021;Daily Minimum;2.2;0.0;0.0;0.2;0.0;0.0;1.3;0.0;0.0;2.6;0.0;0.0;1.8;;;;;
1;20/12/2021;Daily Average;6.4;0.6;5.8;12.0;0.2;11.9;26.9;1.1;25.8;3.6;0.5;3.1;6.4;;;;;
1;20/12/2021;Monthly Total;2227.7;243.2;1984.6;5139.8;84.8;5055.4;10147.1;771.0;9376.1;1590.0;238.6;1351.4;;;;;;
1;20/12/2021;Monthly Maximum;169.8;14.7;156.3;538.6;20.6;535.6;826.9;95.9;741.4;90.3;13.5;76.8;11.7;;;;;
1;20/12/2021;Monthly Minimum;53.0;7.8;45.2;6.2;1.0;5.2;81.9;8.0;72.5;62.5;10.4;51.3;1.5;;;;;
1;20/12/2021;Monthly Average;111.4;12.2;99.2;257.0;4.2;252.8;507.4;38.6;468.8;79.5;11.9;67.6;4.8;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Daily report lt 53 Zone ABCDE;;;;;;;Printed Date 2021/12/21(Tue);;;2
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;2021/12/20(Mon);;;;;;;;;;;;;;;;;
;;;kWh total 53 Zone A;kWh WBP 53 Zone A;kWh LWBP 53 Zone A;kWh total 53 Zone B;kWh WBP 53 Zone B;kWh LWBP 53 Zone B;kWh total 53 Zone C;kWh WBP 53 Zone C;kWh LWBP 53 Zone C;kWh total 53 Zone D;kWh WBP 53 Zone D;kWh LWBP 53 Zone D;kWh total 53 Zone E;kWh WBP 53 Zone E;kWh LWBP 53 Zone E;;;
Page No.;Date;Time;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;;;
2;20/12/2021;01:00;1.0;0.0;0.9;0.1;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.2;0.3;0.0;0.3;;;
2;20/12/2021;02:00;0.9;0.0;1.0;0.1;0.0;0.1;0.1;0.0;0.1;0.2;0.0;0.2;0.3;0.0;0.2;;;
2;20/12/2021;03:00;1.0;0.0;0.9;0.1;0.0;0.1;0.0;0.0;0.0;0.2;0.0;0.1;0.2;0.0;0.3;;;
2;20/12/2021;04:00;1.0;0.0;1.0;0.1;0.0;0.1;0.1;0.0;0.1;0.2;0.0;0.2;0.3;0.0;0.3;;;
2;20/12/2021;05:00;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.2;0.3;0.0;0.3;;;
2;20/12/2021;06:00;1.4;0.0;1.4;0.1;0.0;0.1;0.0;0.0;0.1;0.2;0.0;0.2;0.3;0.0;0.3;;;
2;20/12/2021;07:00;1.3;0.0;1.3;7.9;0.0;7.8;3.6;0.0;3.5;5.9;0.0;5.9;13.4;0.0;13.5;;;
2;20/12/2021;08:00;1.2;0.0;1.3;8.7;0.0;8.9;9.2;0.0;9.2;21.6;0.0;21.6;19.5;0.0;19.4;;;
